texto,label
Lembrete da confirmação para amanhã.,produtivo
Não perca as ofertas de feliz páscoa.,improdutivo
Promoção exclusiva em comemoração a brinde.,improdutivo
Favor confirmar a videoconferência.,produtivo
Solicitamos atualização sobre o relatório.,produtivo
Agendada a orçamento às 14h.,produtivo
Convite para parabéns nesta semana.,improdutivo
Não perca as ofertas de desconto.,improdutivo
Não perca as ofertas de brinde.,improdutivo
Convite para confraternização nesta semana.,improdutivo
Favor confirmar a pauta.,produtivo
Segue anexo o documentação para validação.,produtivo
Lembrete da entrega para amanhã.,produtivo
Desconto! Aproveite esta data especial.,improdutivo
Promoção exclusiva em comemoração a desconto.,improdutivo
Convite para oferta nesta semana.,improdutivo
Não perca as ofertas de feliz natal.,improdutivo
Mensagem especial para promoção.,improdutivo
Favor confirmar a cliente.,produtivo
Convite para parabéns nesta semana.,improdutivo
Agendada a alinhamento às 14h.,produtivo
Agendada a pagamento às 14h.,produtivo
Promoção exclusiva em comemoração a datas comemorativas.,improdutivo
Mensagem especial para brinde.,improdutivo
Convite! Aproveite esta data especial.,improdutivo
Solicitamos atualização sobre o reunião.,produtivo
Promoção exclusiva em comemoração a confraternização.,improdutivo
Favor confirmar a orçamento.,produtivo
Favor confirmar a documentação.,produtivo
Confraternização! Aproveite esta data especial.,improdutivo
Não perca as ofertas de sorteio.,improdutivo
Boas festas! Aproveite esta data especial.,improdutivo
Não perca as ofertas de dia das mães.,improdutivo
Favor confirmar a videoconferência.,produtivo
Favor confirmar a manutenção.,produtivo
Feliz páscoa! Aproveite esta data especial.,improdutivo
Convite para datas comemorativas nesta semana.,improdutivo
Favor confirmar a fatura.,produtivo
Solicitamos atualização sobre o projeto.,produtivo
Favor confirmar a fatura.,produtivo
Feliz natal! Aproveite esta data especial.,improdutivo
Mensagem especial para dia das mães.,improdutivo
Promoção exclusiva em comemoração a convite.,improdutivo
Agendada a entrega às 14h.,produtivo
Segue anexo o planejamento para validação.,produtivo
Segue anexo o confirmação para validação.,produtivo
Promoção exclusiva em comemoração a boas festas.,improdutivo
Segue anexo o confirmação para validação.,produtivo
Favor confirmar a deadline.,produtivo
Favor confirmar a confirmação.,produtivo
Não perca as ofertas de convite.,improdutivo
Promoção exclusiva em comemoração a happy hour.,improdutivo
Solicitamos atualização sobre o planejamento.,produtivo
Não perca as ofertas de promoção.,improdutivo
Agendada a cliente às 14h.,produtivo
Mensagem especial para parabéns.,improdutivo
Convite para dia das mães nesta semana.,improdutivo
Não perca as ofertas de promoção imperdível.,improdutivo
Promoção exclusiva em comemoração a presente.,improdutivo
Segue anexo o deadline para validação.,produtivo
Não perca as ofertas de desconto.,improdutivo
Solicitamos atualização sobre o confirmação.,produtivo
Não perca as ofertas de feliz páscoa.,improdutivo
Mensagem especial para oferta.,improdutivo
Segue anexo o confirmação para validação.,produtivo
Lembrete da alinhamento para amanhã.,produtivo
Convite para feliz aniversário nesta semana.,improdutivo
Não perca as ofertas de parabéns.,improdutivo
Favor confirmar a projeto.,produtivo
Promoção exclusiva em comemoração a confraternização.,improdutivo
Não perca as ofertas de feliz natal.,improdutivo
Mensagem especial para datas comemorativas.,improdutivo
Solicitamos atualização sobre o manutenção.,produtivo
Convite para brinde nesta semana.,improdutivo
Favor confirmar a projeto.,produtivo
Mensagem especial para happy hour.,improdutivo
Segue anexo o deadline para validação.,produtivo
Agendada a pagamento às 14h.,produtivo
Brinde! Aproveite esta data especial.,improdutivo
Não perca as ofertas de feliz natal.,improdutivo
Convite para happy hour nesta semana.,improdutivo
Solicitamos atualização sobre o deadline.,produtivo
Mensagem especial para datas comemorativas.,improdutivo
Segue anexo o entrega para validação.,produtivo
Mensagem especial para desconto.,improdutivo
Solicitamos atualização sobre o cliente.,produtivo
Favor confirmar a pauta.,produtivo
Convite! Aproveite esta data especial.,improdutivo
Promoção exclusiva em comemoração a presente.,improdutivo
Feliz páscoa! Aproveite esta data especial.,improdutivo
Favor confirmar a relatório.,produtivo
Favor confirmar a pagamento.,produtivo
Lembrete da manutenção para amanhã.,produtivo
Segue anexo o projeto para validação.,produtivo
Convite para oferta nesta semana.,improdutivo
Agendada a alinhamento às 14h.,produtivo
